ID,Resume_str,Category
1,hr .... java .... ai .... sql .... database .... management .... recruitment,HR
2,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
3,hr .... human resources .... ai .... management .... recruitment .... aws,HR
4,hr .... human resources .... ai .... database .... management,HR
5,hr .... spring .... ai .... database .... management,HR
6,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
7,hr .... ai .... management,HR
8,hr .... ai .... management .... aws,HR
9,hr .... human resources .... ai .... database,HR
10,hr .... human resources .... ai .... management .... recruitment,HR
11,hr .... human resources .... ai .... database .... recruitment,HR
12,hr .... human resources .... ai .... engineer .... management .... recruitment,HR
13,hr .... human resources .... ai .... management .... aws,HR
14,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
15,hr .... human resources .... ai .... database .... management .... recruitment,HR
16,hr .... human resources .... ai .... management .... aws,HR
17,hr .... human resources .... ai .... management,HR
18,hr .... human resources .... ai .... database .... engineer .... management .... recruitment .... aws,HR
19,hr .... ai .... database .... engineer .... management .... recruitment .... analytics .... aws,HR
20,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
21,hr .... human resources .... ai .... management,HR
22,hr .... human resources .... ai .... management .... aws,HR
23,hr .... ai .... database .... management .... recruitment,HR
24,hr .... human resources .... ai .... engineer .... management .... recruitment .... aws,HR
25,hr .... human resources .... ai .... database .... management .... recruitment,HR
26,hr .... human resources .... ai .... database .... management .... recruitment,HR
27,hr .... human resources .... ai .... management .... analytics,HR
28,hr .... human resources .... ai .... database .... management .... aws,HR
29,hr .... ai .... database .... management,HR
30,hr .... human resources .... ai .... management .... aws,HR
31,hr .... human resources .... ai .... database .... project manager .... management .... recruitment .... aws,HR
32,hr .... human resources .... ai .... management,HR
33,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
34,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
35,hr .... human resources .... ai .... database .... management .... recruitment .... analytics,HR
36,hr .... human resources .... ai .... database .... management .... recruitment,HR
37,hr .... human resources .... spring .... ai .... management,HR
38,hr .... human resources .... ai .... management .... recruitment,HR
39,hr .... human resources .... ai .... database .... management .... recruitment,HR
40,hr .... human resources .... ai .... management .... recruitment,HR
41,hr .... human resources .... ai .... recruitment .... aws,HR
42,hr .... human resources .... ai .... database .... management,HR
43,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
44,hr .... human resources .... ai .... database .... management,HR
45,hr .... human resources .... ai .... database .... management .... aws,HR
46,hr .... human resources .... ai .... management,HR
47,hr .... human resources .... ai .... management .... recruitment .... aws,HR
48,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
49,hr .... human resources .... ai .... database .... engineer .... management .... recruitment,HR
50,hr .... ai .... database .... management .... aws,HR
51,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
52,hr .... human resources .... ai .... management .... recruitment .... aws,HR
53,hr .... ai .... database .... management .... recruitment,HR
54,hr .... human resources .... ai .... management .... recruitment,HR
55,hr .... human resources .... ai .... management .... recruitment,HR
56,hr .... human resources .... ai .... database .... management,HR
57,hr .... ai .... engineer .... project manager .... management .... recruitment .... aws,HR
58,hr .... human resources .... ai .... management .... recruitment .... aws,HR
59,hr .... human resources .... ai .... engineer .... management .... recruitment .... analytics,HR
60,hr .... human resources .... ai .... management .... recruitment .... aws,HR
61,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
62,hr .... human resources .... ai .... management .... recruitment .... aws,HR
63,hr .... ai .... database .... management,HR
64,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
65,hr .... ai .... engineer .... project manager .... management,HR
66,hr .... human resources .... ai .... management .... recruitment .... aws,HR
67,hr .... human resources .... ai .... management,HR
68,hr .... human resources .... ai .... management .... recruitment,HR
69,hr .... human resources .... ai .... project manager .... management .... recruitment .... analytics,HR
70,hr .... human resources .... java .... ai .... sql .... database .... developer .... engineer .... project manager .... management .... recruitment .... aws,HR
71,hr .... human resources .... ai .... management .... recruitment .... aws,HR
72,hr .... human resources .... ai,HR
73,hr .... human resources .... ai .... database .... management .... recruitment,HR
74,hr .... human resources .... ai .... management .... recruitment,HR
75,hr .... human resources .... ai .... management .... aws,HR
76,hr .... ai .... management .... recruitment .... aws,HR
77,hr .... human resources .... ai .... management .... recruitment,HR
78,hr .... human resources .... ai .... management,HR
79,hr .... human resources .... java .... ai .... sql .... database .... engineer .... management .... recruitment,HR
80,hr .... human resources .... ai .... management .... aws,HR
81,hr .... human resources .... ai .... database .... management,HR
82,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
83,hr .... human resources .... ai .... management,HR
84,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
85,hr .... human resources .... ai .... management .... recruitment .... aws,HR
86,hr .... human resources .... ai .... database .... engineer .... management,HR
87,hr .... human resources .... ai .... management,HR
88,hr .... human resources .... ai .... database .... management,HR
89,hr .... human resources .... ai .... management,HR
90,hr .... human resources .... ai .... management .... aws,HR
91,hr .... ai .... management,HR
92,hr .... ai .... database .... project manager .... management .... aws,HR
93,hr .... human resources .... ai .... project manager .... management .... recruitment,HR
94,hr .... human resources .... ai .... management .... recruitment .... aws,HR
95,hr .... human resources .... ai .... management .... recruitment,HR
96,hr .... human resources .... ai .... database .... management .... recruitment,HR
97,hr .... human resources .... ai .... management .... recruitment,HR
98,hr .... human resources .... ai .... database .... developer .... engineer .... project manager .... management .... recruitment,HR
99,hr .... human resources .... ai,HR
100,hr .... ai .... management .... aws,HR
101,hr .... human resources .... ai .... project manager .... management,HR
102,hr .... ai .... database .... management,HR
103,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
104,hr .... ai .... database,HR
105,hr .... human resources .... ai .... management,HR
106,hr .... human resources .... ai .... database .... management .... recruitment,HR
107,hr .... human resources .... ai .... database .... management .... recruitment .... aws,HR
108,hr .... human resources .... ai .... database .... management .... recruitment,HR
109,hr .... human resources .... ai .... management .... recruitment,HR
110,hr .... human resources .... ai .... database .... management,HR
