Category,Resume
PMO,hr .... management .... automation .... analyst .... manager
Operations Manager,hr .... management .... manager
Automation Testing,java .... testing .... automation .... engineer
Web Designing,java .... html .... css .... javascript .... angular .... management .... sales .... engineer .... developer
Java Developer,java .... javascript .... developer
Sales,hr .... sales .... manager
HR,hr
Java Developer,java .... jsp .... sql .... oracle .... automation .... database .... engineer .... developer
PMO,hr .... management .... sales .... engineer .... manager
Electrical Engineering,management .... testing .... automation .... engineer
Python Developer,python .... numpy .... tensorflow .... sql .... mysql .... database .... engineer .... developer
ETL Developer,sql .... engineer .... developer
Java Developer,java .... spring .... hibernate .... sql .... oracle .... database .... engineer .... developer
Arts,hr .... recruitment .... management .... manager
Arts,....
Network Security Engineer,oracle .... linux .... hr .... management .... engineer .... manager
Operations Manager,sql .... hr .... human resources .... management .... sales .... testing .... database .... engineer .... manager
Java Developer,java .... sql .... mysql .... oracle .... html .... css .... testing .... database .... developer
Sales,sales .... manager
Arts,....
Arts,....
Electrical Engineering,management .... engineer
Database,sql .... hr .... management .... database
DotNet Developer,java .... sql .... html .... css .... javascript .... angular .... management .... developer
Health and fitness,management
Testing,testing .... engineer
Data Science,java .... python .... pandas .... numpy .... machine learning .... deep learning .... data science .... sql .... mysql .... docker .... html .... css .... javascript .... angular .... node .... database .... manager
Civil Engineer,hr .... engineer
Data Science,python .... machine learning .... data science .... html .... hr
ETL Developer,sql .... oracle .... management .... testing .... automation .... engineer .... developer
Arts,hr .... recruitment .... management .... manager
PMO,hr .... management .... automation .... analyst .... manager
Blockchain,java .... spring .... hibernate .... sql .... mysql .... oracle .... html .... css .... javascript .... angular .... react .... node .... management .... blockchain .... database .... engineer .... developer
Testing,engineer
Sales,hr .... sales .... manager
SAP Developer,automation .... sap .... engineer .... developer
Civil Engineer,management .... engineer
HR,hr
Web Designing,java .... sql .... mysql .... html .... css .... javascript .... hr .... database .... developer
ETL Developer,java .... sql .... mysql .... hdfs .... aws .... hr .... management .... testing .... database .... developer
DotNet Developer,java .... sql .... html .... css .... javascript .... management .... testing .... automation .... database .... developer .... manager
DevOps Engineer,java .... devops .... linux .... management .... sales .... testing .... automation .... business analyst .... engineer .... developer .... analyst
ETL Developer,sql .... oracle .... hr .... management .... testing .... business analyst .... database .... developer .... analyst .... manager
Database,sql .... oracle .... hive .... linux .... management .... database .... engineer .... developer
Civil Engineer,hr .... engineer
Advocate,....
Hadoop,python .... sql .... hadoop .... spark .... hdfs .... hive .... html .... node .... management .... testing .... database .... engineer .... developer .... manager
Arts,hr .... management .... automation .... engineer
Automation Testing,java .... python .... sql .... mysql .... oracle .... linux .... html .... javascript .... hr .... management .... testing .... automation .... selenium .... business analyst .... database .... engineer .... developer .... analyst
Hadoop,java .... python .... sql .... mysql .... oracle .... hadoop .... spark .... hdfs .... hive .... aws .... linux .... testing .... database .... developer
PMO,hr .... management .... sales .... engineer .... manager
Electrical Engineering,management .... engineer
Testing,java .... sql .... mysql .... html .... css .... management .... testing .... automation .... sap .... database .... engineer .... developer .... manager
Civil Engineer,engineer
Health and fitness,management
Business Analyst,sql .... hr .... management .... sales .... testing .... automation .... business analyst .... database .... engineer .... developer .... analyst .... manager
Civil Engineer,hr .... management .... testing .... engineer .... manager
Arts,....
DevOps Engineer,python .... sql .... mysql .... oracle .... aws .... azure .... devops .... linux .... html .... hr .... testing .... automation .... database .... engineer
Advocate,aws .... management .... engineer
Business Analyst,sales .... business analyst .... analyst .... manager
DevOps Engineer,java .... python .... sql .... mysql .... aws .... devops .... html .... javascript .... angular .... node .... hr .... management .... database .... manager
PMO,hr .... management .... sales .... engineer .... manager
Blockchain,sql .... mysql .... aws .... docker .... angular .... react .... node .... management .... blockchain .... database .... engineer
Java Developer,java .... spring .... hibernate .... jsp .... servlet .... sql .... mysql .... oracle .... azure .... linux .... html .... javascript .... angular .... sap .... database .... engineer .... developer
Health and fitness,recruitment .... management .... sales .... manager
Web Designing,java .... sql .... mysql .... html .... css .... javascript .... hr .... management .... database .... engineer
DotNet Developer,java .... sql .... html .... css .... javascript .... management .... testing .... automation .... database .... developer .... manager
DevOps Engineer,python .... sql .... mysql .... oracle .... aws .... azure .... devops .... linux .... html .... hr .... testing .... automation .... database .... engineer
Data Science,java .... python .... pandas .... numpy .... tensorflow .... machine learning .... deep learning .... data science .... sql .... mysql .... oracle .... linux .... hr .... automation .... database .... engineer
ETL Developer,sql .... hr .... management .... engineer .... developer .... analyst
Mechanical Engineer,hr .... engineer
ETL Developer,sql .... oracle .... management .... testing .... automation .... engineer .... developer
ETL Developer,sql .... engineer .... developer
DevOps Engineer,java .... spring .... hibernate .... python .... sql .... mysql .... aws .... devops .... html .... css .... javascript .... engineer
Advocate,....
Advocate,....
Database,sql .... oracle .... hive .... linux .... management .... database .... engineer .... developer
Advocate,....
Hadoop,sql .... hadoop .... spark .... hdfs .... hive .... linux .... node .... database .... engineer .... developer
Database,sql .... oracle .... hive .... linux .... node .... management .... sap .... database .... engineer .... developer
Advocate,....
ETL Developer,sql .... oracle .... hr .... management .... testing .... business analyst .... database .... developer .... analyst .... manager
Python Developer,python .... numpy .... sql .... mysql .... spark .... html .... testing .... database .... engineer .... developer
Web Designing,java .... html .... css .... javascript .... angular .... management .... sales .... engineer .... developer
Testing,management .... testing .... engineer .... manager
Mechanical Engineer,hr .... engineer
Business Analyst,management .... testing .... business analyst .... database .... analyst
Testing,management .... testing .... engineer .... manager
Operations Manager,hr .... management .... sales .... testing .... automation .... sap .... database .... engineer .... manager
Business Analyst,sql .... oracle .... hr .... recruitment .... management .... testing .... business analyst .... database .... engineer .... analyst
HR,hr .... management .... database
Health and fitness,....
Sales,sql .... sales .... manager
Health and fitness,hr .... management
Web Designing,java .... sql .... mysql .... html .... css .... javascript .... hr .... database .... developer
Electrical Engineering,hr .... management .... sales .... sap .... engineer
DotNet Developer,sql .... html .... css .... angular .... management .... database .... developer
Arts,....
Web Designing,developer
Testing,management .... testing .... engineer
HR,hr
HR,hr
Python Developer,python .... engineer .... developer
Electrical Engineering,management .... engineer
Health and fitness,hr .... management
Automation Testing,java .... spring .... machine learning .... sql .... html .... javascript .... management .... sales .... testing .... automation .... selenium .... database .... engineer .... developer
Automation Testing,jsp .... servlet .... recruitment .... testing .... automation .... selenium .... engineer
Java Developer,java .... spring .... hibernate .... jsp .... servlet .... sql .... mysql .... oracle .... management .... database .... developer
Mechanical Engineer,hr .... engineer
HR,hr .... management .... database
Network Security Engineer,management .... engineer
Testing,java .... linux .... testing .... automation .... selenium .... database .... engineer
Web Designing,java .... sql .... mysql .... html .... css .... javascript .... hr .... management .... database .... engineer
Business Analyst,sales .... business analyst .... analyst .... manager
Mechanical Engineer,engineer
PMO,hr .... management .... sales .... engineer .... manager
Python Developer,python .... numpy .... tensorflow .... sql .... mysql .... database .... engineer .... developer
Testing,java .... sql .... mysql .... html .... css .... management .... testing .... automation .... sap .... database .... engineer .... developer .... manager
Hadoop,java .... jsp .... python .... machine learning .... sql .... mysql .... oracle .... hadoop .... spark .... hdfs .... hive .... devops .... node .... hr .... management .... testing .... business analyst .... database .... engineer .... developer .... analyst
